oooooooooooooooooooooooooooooooo
o                              o
o                              o
o                              o
o                              o
m                              o
mm   mm  mm  mm  mm  mm  mm    o
oo  too too too too too too    o
oo  moo moo moo moo moo moo    o
oo   oo  oo  oo  oo  oo  oo    o
oo   oo  oo  oo  oo  oo  oo    o
oo   oo  oo  oo  oo  oo  oo    o
oo   oo  oo  oo  oo  oo  oo    o
oo   oo  oo  oo  oo  oo  oo    o
oo   oo  oo  oo  oo  oo  oo    o
oo   oo  oo  oo  oo  oo  oo    o
ooo  oo  oo  oo  oo  oo  oo  ooo
oooeeooeeooeeooeeooeeooeeooeeooo
